id;hoehe;breite;laenge;ort
500;5717;130;51.2248;7.1053;Wuppertal-Buchenhofen
501;5731;398;47.6783;8.3801;Wutöschingen-Ofteringen
502;5732;8;54.6928;8.5271;Wrixum/Föhr
503;5745;51;52.9664;13.3268;Zehdenick
504;5750;170;51.0314;12.1495;Zeitz
505;5779;877;50.7314;13.7516;Zinnwald-Georgenfeld
506;5792;2964;47.4209;10.9847;Zugspitze
507;5797;353;50.6878;12.4329;Lichtentanne
508;5800;615;49.028;13.2385;Zwiesel
509;5825;40;52.6198;12.7867;Berge
510;5839;-0.3;53.3881;7.2287;Emden
511;5856;476.4;48.5451;13.3531;Fürstenzell
512;5871;497;49.9462;7.2645;Hahn
513;5906;96.1;49.509;8.5541;Mannheim
514;5912;253.5;51.1318;9.5189;Melsungen-Bürstoß
515;5930;2;54.641;10.0238;Schönhagen (Ostseebad)
516;5941;685;47.6754;12.4698;Reit im Winkl
