id,datum_anfang,datum_ende,luft_max,luft,luft_min,windstaerke,sonnenschein,niederschlag,max_max_luft,min_min_luft,max_windspitze,max_niederschlag
1757,2015-07-01,2015-07-31,22.5,17.6,12.6,2.58,221.4,54.9,33.6,8.1,18.1,17.9
1757,2015-08-01,2015-08-31,24.3,18.9,13.7,2.48,279.5,47.6,33.1,7.5,14.8,19
3621,2015-06-01,2015-06-30,22.6,17,11.3,-999,-999,56,31.9,6.2,-999,18.1
3621,2015-07-01,2015-07-31,27.5,20.8,13.4,-999,-999,21.5,35,6.5,-999,7.5
3621,2015-08-01,2015-08-31,28,20.6,13.4,-999,-999,50.3,37.2,7.1,-999,24.8
5792,2015-06-01,2015-06-30,5.1,2.2,-0.5,3.5,168.5,167.2,11.3,-6.6,34.2,33.5
5792,2015-07-01,2015-07-31,9.9,6.5,3.2,3.71,219.3,105.9,15.8,-4.9,28.2,18.5
5792,2015-08-01,2015-08-31,8.8,6,3.6,3.23,197.6,146.2,14,-2,31.4,29.7
150,2015-06-01,2015-06-30,23.6,17.4,10.9,-999,203.2,51.6,32.6,7.1,-999,8.2
150,2015-07-01,2015-07-31,28.8,21.7,14.7,-999,266,15.4,38.3,7,-999,3.4
150,2015-08-01,2015-08-31,27.7,21.1,14.9,-999,240.3,39.1,38.4,9,-999,9.2
1639,2015-06-01,2015-06-30,22.7,16.6,10.2,2.5,223.3,30.7,32.2,5.9,15.3,12.7
1639,2015-07-01,2015-07-31,27.3,20.4,13.7,2.58,264,61.5,38.1,4.7,22.9,22.5
1639,2015-08-01,2015-08-31,26.8,20.2,14,2.32,232.5,67.4,35,9.2,15.3,22
3307,2015-06-01,2015-06-30,20.5,14.7,9.2,-999,-999,176.4,27,4.9,-999,27.1
3307,2015-07-01,2015-07-31,24.9,18.3,12.2,-999,-999,130.2,33.3,5.1,-999,21.4
3307,2015-08-01,2015-08-31,24.2,17.4,11.1,-999,-999,125.8,31.4,5.9,-999,30.4
3442,2015-06-01,2015-06-30,24,17.7,12.1,-999,-999,38.3,33.6,8.2,-999,8.7
3442,2015-07-01,2015-07-31,28.9,21.8,15.1,-999,-999,35.4,38.9,6.6,-999,8
3442,2015-08-01,2015-08-31,28.4,21.4,15.3,-999,-999,43.2,39,10.4,-999,15.6
4560,2015-06-01,2015-06-30,22,16.2,10.1,-999,204.2,52.3,31.4,5.9,-999,23.7
4560,2015-07-01,2015-07-31,26.2,19.9,13.8,-999,231,59.4,37.1,4.5,-999,8.9
4560,2015-08-01,2015-08-31,26.4,19.9,13.9,-999,226.2,96.2,37,8.9,-999,45.2
2968,2015-06-01,2015-06-30,22.9,17.6,12,-999,-999,41.9,33.5,7.9,-999,14.7
2968,2015-07-01,2015-07-31,25.9,20.6,15.8,-999,-999,54.7,37.1,8.1,-999,16
2968,2015-08-01,2015-08-31,26.2,20.6,15.4,-999,-999,150.5,35,10.8,-999,40
2601,2015-06-01,2015-06-30,17.2,12.7,8.7,2.83,209.2,81.3,26.6,4.4,17.5,20.7
2601,2015-07-01,2015-07-31,21.8,16.7,12.2,2.74,228.8,48.1,31.7,5.8,19.6,19.3
